"State","Sector","Fuel","Year","Value"
"Alabama","Industry","Total",1993,27.3
"Alabama","Transport","Coal",1993,0
"Alabama","Transport","Petroleum Products",1993,28.5
"Alabama","Transport","Natural Gas",1993,0.9
"Alabama","Transport","Total",1993,29.4
"Alabama","Electricity","Coal",1993,63.2
"Alabama","Electricity","Petroleum Products",1993,0.1
"Alabama","Electricity","Natural Gas",1993,0.3
"Alabama","Electricity","Total",1993,63.6
"Alabama","Residential","Coal",1994,0
"Alabama","Residential","Petroleum Products",1994,0.6
"Alabama","Residential","Natural Gas",1994,2.7
"Alabama","Residential","Total",1994,3.3
"Alabama","Commercial","Coal",1994,0
"Alabama","Commercial","Petroleum Products",1994,0.6
"Alabama","Commercial","Natural Gas",1994,1.4
"Alabama","Commercial","Total",1994,2.1
"Alabama","Industry","Coal",1994,13.6
"Alabama","Industry","Petroleum Products",1994,4
"Alabama","Industry","Natural Gas",1994,10.6
"Alabama","Industry","Total",1994,28.3
"Alabama","Transport","Coal",1994,0
"Alabama","Transport","Petroleum Products",1994,29.8
"Alabama","Transport","Natural Gas",1994,0.8
"Alabama","Transport","Total",1994,30.6
"Alabama","Electricity","Coal",1994,59.2
"Alabama","Electricity","Petroleum Products",1994,0.1
"Alabama","Electricity","Natural Gas",1994,0.3
"Alabama","Electricity","Total",1994,59.6
"Alabama","Residential","Coal",1995,0
"Alabama","Residential","Petroleum Products",1995,0.6
"Alabama","Residential","Natural Gas",1995,2.7
"Alabama","Residential","Total",1995,3.3
"Alabama","Commercial","Coal",1995,0
"Alabama","Commercial","Petroleum Products",1995,0.5
"Alabama","Commercial","Natural Gas",1995,1.4
"Alabama","Commercial","Total",1995,2
"Alabama","Industry","Coal",1995,13.5
"Alabama","Industry","Petroleum Products",1995,3.7
"Alabama","Industry","Natural Gas",1995,11.9
"Alabama","Industry","Total",1995,29.1
"Alabama","Transport","Coal",1995,0
"Alabama","Transport","Petroleum Products",1995,31
"Alabama","Transport","Natural Gas",1995,1.1
"Alabama","Transport","Total",1995,32.1
"Alabama","Electricity","Coal",1995,64.6
"Alabama","Electricity","Petroleum Products",1995,0.1
"Alabama","Electricity","Natural Gas",1995,0.5
"Alabama","Electricity","Total",1995,65.1
"Alabama","Residential","Coal",1996,0
"Alabama","Residential","Petroleum Products",1996,0.6
"Alabama","Residential","Natural Gas",1996,3.1
"Alabama","Residential","Total",1996,3.7
"Alabama","Commercial","Coal",1996,0.1
"Alabama","Commercial","Petroleum Products",1996,0.5
"Alabama","Commercial","Natural Gas",1996,1.6
"Alabama","Commercial","Total",1996,2.2
"Alabama","Industry","Coal",1996,14
"Alabama","Industry","Petroleum Products",1996,4.1
"Alabama","Industry","Natural Gas",1996,11.8
"Alabama","Industry","Total",1996,29.9
"Alabama","Transport","Coal",1996,0
"Alabama","Transport","Petroleum Products",1996,30.4
"Alabama","Transport","Natural Gas",1996,1.1
"Alabama","Transport","Total",1996,31.4
"Alabama","Electricity","Coal",1996,69.8
"Alabama","Electricity","Petroleum Products",1996,0.1
"Alabama","Electricity","Natural Gas",1996,0.4
"Alabama","Electricity","Total",1996,70.3
"Alabama","Residential","Coal",1997,0
"Alabama","Residential","Petroleum Products",1997,0.7
"Alabama","Residential","Natural Gas",1997,2.7
"Alabama","Residential","Total",1997,3.4
"Alabama","Commercial","Coal",1997,0.1
"Alabama","Commercial","Petroleum Products",1997,0.5
"Alabama","Commercial","Natural Gas",1997,1.8
"Alabama","Commercial","Total",1997,2.4
"Alabama","Industry","Coal",1997,13.7
"Alabama","Industry","Petroleum Products",1997,3.6
"Alabama","Industry","Natural Gas",1997,11.6
"Alabama","Industry","Total",1997,29
"Alabama","Transport","Coal",1997,0
"Alabama","Transport","Petroleum Products",1997,29.9
"Alabama","Transport","Natural Gas",1997,1.1
"Alabama","Transport","Total",1997,31.1
"Alabama","Electricity","Coal",1997,67.9
"Alabama","Electricity","Petroleum Products",1997,0.1
"Alabama","Electricity","Natural Gas",1997,0.6
"Alabama","Electricity","Total",1997,68.6
"Alabama","Residential","Coal",1998,0
"Alabama","Residential","Petroleum Products",1998,0.5
"Alabama","Residential","Natural Gas",1998,2.6
"Alabama","Residential","Total",1998,3.1
"Alabama","Commercial","Coal",1998,0
"Alabama","Commercial","Petroleum Products",1998,0.5
"Alabama","Commercial","Natural Gas",1998,1.4
"Alabama","Commercial","Total",1998,1.9
"Alabama","Industry","Coal",1998,11.8
"Alabama","Industry","Petroleum Products",1998,3.1
"Alabama","Industry","Natural Gas",1998,11.5
"Alabama","Industry","Total",1998,26.4
"Alabama","Transport","Coal",1998,0
"Alabama","Transport","Petroleum Products",1998,30.5
"Alabama","Transport","Natural Gas",1998,1.1
"Alabama","Transport","Total",1998,31.6
"Alabama","Electricity","Coal",1998,68.9
"Alabama","Electricity","Petroleum Products",1998,0.2
"Alabama","Electricity","Natural Gas",1998,1.5
"Alabama","Electricity","Total",1998,70.6
"Alabama","Residential","Coal",1999,0
"Alabama","Residential","Petroleum Products",1999,1
"Alabama","Residential","Natural Gas",1999,2.3
"Alabama","Residential","Total",1999,3.3
"Alabama","Commercial","Coal",1999,0
"Alabama","Commercial","Petroleum Products",1999,0.6
"Alabama","Commercial","Natural Gas",1999,1.5
"Alabama","Commercial","Total",1999,2.2
"Alabama","Industry","Coal",1999,11.4
"Alabama","Industry","Petroleum Products",1999,3.3
"Alabama","Industry","Natural Gas",1999,12.1
"Alabama","Industry","Total",1999,26.8
"Alabama","Transport","Coal",1999,0
"Alabama","Transport","Petroleum Products",1999,30.8
"Alabama","Transport","Natural Gas",1999,1.2
"Alabama","Transport","Total",1999,32
"Alabama","Electricity","Coal",1999,70.3
"Alabama","Electricity","Petroleum Products",1999,0.1
"Alabama","Electricity","Natural Gas",1999,1.4
"Alabama","Electricity","Total",1999,71.8
"Alabama","Residential","Coal",2000,0
"Alabama","Residential","Petroleum Products",2000,1
"Alabama","Residential","Natural Gas",2000,2.6
"Alabama","Residential","Total",2000,3.7
"Alabama","Commercial","Coal",2000,0.1
"Alabama","Commercial","Petroleum Products",2000,0.7
"Alabama","Commercial","Natural Gas",2000,1.4
"Alabama","Commercial","Total",2000,2.2
"Alabama","Industry","Coal",2000,10.9
"Alabama","Industry","Petroleum Products",2000,3.3
"Alabama","Industry","Natural Gas",2000,11.9
"Alabama","Industry","Total",2000,26.1
"Alabama","Transport","Coal",2000,0
"Alabama","Transport","Petroleum Products",2000,32.2
"Alabama","Transport","Natural Gas",2000,1.3
"Alabama","Transport","Total",2000,33.4
"Alabama","Electricity","Coal",2000,74.2
"Alabama","Electricity","Petroleum Products",2000,0.2
"Alabama","Electricity","Natural Gas",2000,2.3
"Alabama","Electricity","Total",2000,76.7
"Alabama","Residential","Coal",2001,0
"Alabama","Residential","Petroleum Products",2001,0.8
"Alabama","Residential","Natural Gas",2001,2.7
"Alabama","Residential","Total",2001,3.5
"Alabama","Commercial","Coal",2001,0
"Alabama","Commercial","Petroleum Products",2001,0.7
"Alabama","Commercial","Natural Gas",2001,1.4
"Alabama","Commercial","Total",2001,2.2
"Alabama","Industry","Coal",2001,9.5
"Alabama","Industry","Petroleum Products",2001,3.9
"Alabama","Industry","Natural Gas",2001,9.2
"Alabama","Industry","Total",2001,22.6
"Alabama","Transport","Coal",2001,0
"Alabama","Transport","Petroleum Products",2001,30.3
"Alabama","Transport","Natural Gas",2001,1.1
"Alabama","Transport","Total",2001,31.4
"Alabama","Electricity","Coal",2001,69.9
"Alabama","Electricity","Petroleum Products",2001,0.2
"Alabama","Electricity","Natural Gas",2001,3.8
"Alabama","Electricity","Total",2001,73.9
"Alabama","Residential","Coal",2002,0
"Alabama","Residential","Petroleum Products",2002,0.7
"Alabama","Residential","Natural Gas",2002,2.5
"Alabama","Residential","Total",2002,3.2
"Alabama","Commercial","Coal",2002,0
"Alabama","Commercial","Petroleum Products",2002,0.6
"Alabama","Commercial","Natural Gas",2002,1.4
"Alabama","Commercial","Total",2002,2
"Alabama","Industry","Coal",2002,8.6
"Alabama","Industry","Petroleum Products",2002,4.3
"Alabama","Industry","Natural Gas",2002,9.5
"Alabama","Industry","Total",2002,22.4
"Alabama","Transport","Coal",2002,0
"Alabama","Transport","Petroleum Products",2002,32.2
"Alabama","Transport","Natural Gas",2002,1.2
"Alabama","Transport","Total",2002,33.4
"Alabama","Electricity","Coal",2002,71.1
"Alabama","Electricity","Petroleum Products",2002,0.2
"Alabama","Electricity","Natural Gas",2002,6.1
"Alabama","Electricity","Total",2002,77.4
"Alabama","Residential","Coal",2003,0
"Alabama","Residential","Petroleum Products",2003,0.5
"Alabama","Residential","Natural Gas",2003,2.5
"Alabama","Residential","Total",2003,3.1
"Alabama","Commercial","Coal",2003,0
"Alabama","Commercial","Petroleum Products",2003,0.7
"Alabama","Commercial","Natural Gas",2003,1.4
"Alabama","Commercial","Total",2003,2.1
"Alabama","Industry","Coal",2003,9.1
"Alabama","Industry","Petroleum Products",2003,5.1
"Alabama","Industry","Natural Gas",2003,9.5
"Alabama","Industry","Total",2003,23.7
"Alabama","Transport","Coal",2003,0
"Alabama","Transport","Petroleum Products",2003,31.3
"Alabama","Transport","Natural Gas",2003,1
"Alabama","Transport","Total",2003,32.3
"Alabama","Electricity","Coal",2003,73.3
"Alabama","Electricity","Petroleum Products",2003,0.2
"Alabama","Electricity","Natural Gas",2003,4.7
"Alabama","Electricity","Total",2003,78.2
"Alabama","Residential","Coal",2004,0
"Alabama","Residential","Petroleum Products",2004,0.6
"Alabama","Residential","Natural Gas",2004,2.4
"Alabama","Residential","Total",2004,3
"Alabama","Commercial","Coal",2004,0
"Alabama","Commercial","Petroleum Products",2004,0.7
"Alabama","Commercial","Natural Gas",2004,1.4
"Alabama","Commercial","Total",2004,2.2
"Alabama","Industry","Coal",2004,9.3
"Alabama","Industry","Petroleum Products",2004,5
"Alabama","Industry","Natural Gas",2004,9.7
"Alabama","Industry","Total",2004,24
"Alabama","Transport","Coal",2004,0
"Alabama","Transport","Petroleum Products",2004,34
"Alabama","Transport","Natural Gas",2004,0.9
