"Year","State","Coal","Oil","Gas","Residential","Commercial","Industry","Transport","Electricity"
1982,"Massachusetts",8.5,58.2,9.7,13,7.9,5.6,25.7,24.2
1982,"Michigan",66.5,51.1,40.4,23.4,11.1,33.2,39.7,50.6
1982,"Minnesota",19.9,31.1,14,9.1,4.9,11.1,21.7,18.2
1982,"Mississippi",9.4,21.3,14.6,1.9,1.2,10.9,17.4,13.9
1982,"Missouri",49.1,36.7,14.9,8.9,4.9,11.8,28.7,46.4
1982,"Montana",4.5,8.7,2.8,1.4,1.1,3.7,5.7,4.1
1982,"Nebraska",9.1,12.7,7.2,3.2,2.5,5.1,9.5,8.7
1982,"Nevada",13.8,8.8,2.7,1.1,0.6,1.3,8,14.3
1982,"New Hampshire",2.5,8.2,0.5,1.8,0.8,0.9,4,3.7
1982,"New Jersey",7.3,82.7,20,16.4,9.9,17.7,51.4,14.6
1982,"New Mexico",21.2,12.6,11.3,1.8,1.6,6.4,11.8,23.5
1982,"New York",26.9,128.3,41.9,33.5,25.8,26.1,60.1,51.6
1982,"North Carolina",58.5,41.5,7.8,5.2,2.6,13.8,31.8,54.4
1982,"North Dakota",18.6,8.3,1.5,1.1,1,3.5,5.2,17.6
1982,"Ohio",130.1,74.5,40.9,21.7,10.6,61.4,52,99.8
1982,"Oklahoma",19.1,29,36.7,4.8,2.8,21.5,24.2,31.5
1982,"Oregon",1.1,23.8,3.9,2,2.2,5.8,18,0.8
1982,"Pennsylvania",120.7,82.1,37.6,25.5,13,53.7,51.3,96.9
1982,"Rhode Island",0,5.9,1.5,1.9,0.7,0.8,3.6,0.4
1982,"South Carolina",25.4,21.2,5.4,1.9,1.4,11,17.5,20.2
1982,"South Dakota",3.4,6.6,1.3,1.2,0.7,2.1,4.4,2.9
1982,"Tennessee",44.2,32,11.3,3,3.2,16.4,28.1,36.8
1982,"Texas",87.4,193.7,177.7,13.3,14.5,146.1,133.8,151.1
1982,"Utah",14.9,11.2,6,2.5,1.7,8.3,8.7,10.9
1982,"Vermont",0.1,3.7,0.2,0.8,0.3,0.5,2.3,0.1
1982,"Virginia",24.4,42.2,8.2,5.5,3.7,15.2,33.1,17.3
1982,"Washington",6.9,40.2,6,3.3,3.5,13.3,27.2,5.8
1982,"West Virginia",75.7,13.1,7.1,3.1,1.7,17.6,9.5,64
1982,"Wisconsin",30.4,30,16.6,10.3,4.5,15,21.5,25.7
1982,"Wyoming",31.2,10,4.8,1,1.1,9.8,5.6,28.5
1983,"Alabama",49.9,27.7,12.2,3.5,2.6,22,22.9,38.8
1983,"Alaska",1.2,12.1,12.8,1.2,2.5,11.5,8.3,2.6
1983,"Arizona",27.7,19.8,6.4,1.8,1.6,5.6,18.5,26.4
1983,"Arkansas",16.7,19.2,11.2,3.1,3.1,9.6,13.7,17.6
1983,"California",3,205.1,85,28.7,16.2,55,161.8,31.4
1983,"Colorado",23.9,21.3,10.9,5.1,4,6.5,17.9,22.6
1983,"Connecticut",0,31.4,4,5.9,3.5,2.9,13.3,9.8
1983,"Delaware",6.9,8.8,1.9,1.1,0.5,3.2,4,8.8
1983,"District of Columbia",0.2,3.2,1.6,0.9,1.8,0,2,0.3
1983,"Florida",30,100.5,17,1.8,4.6,11.7,66.7,62.7
1983,"Georgia",55,46.2,16.1,5.8,4.7,15,39.9,51.9
1983,"Hawaii",0.1,14.9,0,0,0.1,1.1,8.5,5.3
1983,"Idaho",0.8,6.9,2,0.7,0.7,3,5.3,0
1983,"Illinois",79.5,80.1,50.7,25.5,14.9,43.9,55.3,70.7
1983,"Indiana",103,41.7,22.7,9.9,7,50.4,30.7,69.4
1983,"Iowa",23.8,20.5,11.9,5.9,3.5,10.4,15.6,20.8
1983,"Kansas",21.7,22.6,18.3,4.8,3.3,14,16.8,23.7
1983,"Kentucky",59.8,30,9.4,4.6,3.5,15.2,23.4,52.5
1983,"Louisiana",10.1,87.9,76.1,4,3.6,97.6,42.7,26.2
1983,"Maine",0.6,12.8,0.1,1.6,1.3,2.9,6,1.7
1983,"Maryland",21.6,32.6,7.8,6.5,3.5,12.2,21.8,18
1983,"Massachusetts",9.2,54.5,9.9,12.5,6,6,25.7,23.4
1983,"Michigan",66.1,51,37.6,22.1,10.6,30.9,40.1,51
1983,"Minnesota",19.9,30.1,13,7.6,5.6,9.9,21.9,18
1983,"Mississippi",9,20.7,12.9,2.1,1.5,10.8,16.7,11.5
1983,"Missouri",53,35.2,14,8.5,5,9.8,29,49.9
1983,"Montana",4,9.8,2.4,1.3,1.3,4,5.9,3.7
1983,"Nebraska",9.8,13.4,6.6,3,2.5,4.9,10,9.4
1983,"Nevada",13.2,9.4,2.3,0.8,0.9,1.7,8.2,13.3
1983,"New Hampshire",2.7,8,0.4,1.7,0.6,0.8,4.1,3.9
1983,"New Jersey",8.6,80.9,21.6,15,9.1,14.8,55,17.2
1983,"New Mexico",24.8,13.9,9.8,1.9,2.3,7.3,10.7,26.3
1983,"New York",25,115.2,39.2,31.4,21.9,20.1,54.2,51.8
1983,"North Carolina",55.8,44,7.5,5.2,3.5,13.9,33.2,51.5
1983,"North Dakota",20,8.3,1.3,1,1,3.6,4.9,19.1
1983,"Ohio",123.7,73.3,37.7,19.3,10.9,54.8,51.8,97.9
1983,"Oklahoma",20.6,30,34.8,5.1,2.9,20.8,24,32.6
1983,"Oregon",1,21.1,3.7,1.8,1.9,4.5,17,0.6
1983,"Pennsylvania",124.9,85.6,35,24.1,12.9,54.3,52.1,102.1
1983,"Rhode Island",0,6.1,1.6,2,0.8,0.7,3.6,0.6
1983,"South Carolina",22,22.3,5.5,2.1,1.9,11.2,17.9,16.7
1983,"South Dakota",2.8,6.2,1.3,1.1,0.7,1.8,4.2,2.5
1983,"Tennessee",51.3,32.3,10.5,3.1,4.5,17.2,27.9,41.4
1983,"Texas",95.6,200.3,169,13.1,19,143.9,133,155.9
1983,"Utah",14.9,12.1,6.4,3.4,1.4,8.3,9,11.3
1983,"Vermont",0.1,4.1,0.2,1.1,0.3,0.5,2.4,0.1
1983,"Virginia",25.7,43.6,7.8,5.8,4.4,15.9,33.9,17.1
1983,"Washington",7.5,35.7,5.9,2.8,3.4,10.3,26.1,6.5
1983,"West Virginia",77.5,13.7,6.3,2.7,1.9,15.1,10.3,67.5
1983,"Wisconsin",33.1,29.5,15.9,9,5.5,13.9,21.6,28.5
1983,"Wyoming",29.4,7.7,4.5,1.1,0.9,8.5,4.7,26.4
1984,"Alabama",54.7,27.8,12.7,3.4,2.4,25.4,23.8,40.2
1984,"Alaska",1.2,14.2,13.7,1.3,2.5,12.5,10.1,2.7
1984,"Arizona",30.5,21,6.7,1.7,1.6,6.4,19.7,28.8
1984,"Arkansas",15.4,18.2,11.5,2.9,2.4,9.3,14.5,16
1984,"California",3.5,223.7,92.3,27,15.8,72.3,170.2,34.2
1984,"Colorado",26.9,21,11.8,5.2,4.4,6.2,18.7,25.2
1984,"Connecticut",0.1,33.9,4.3,6.8,4.1,3.3,13.8,10.3
1984,"Delaware",6.8,9.3,2.4,1.4,0.5,3.9,4.1,8.6
1984,"District of Columbia",0.2,3.5,1.5,1.2,1.7,0,1.9,0.4
1984,"Florida",35.5,92.1,17,2.1,5.3,13,65.5,58.7
1984,"Georgia",64,49.2,16.6,6.2,4.9,16.9,41.4,60.4
1984,"Hawaii",0.1,16,0,0,0.1,1.2,9.3,5.5
1984,"Idaho",0.8,6.8,2.2,0.7,0.9,2.8,5.4,0
1984,"Illinois",78.1,73.2,56,28.1,16.5,47.1,49.1,66.5
1984,"Indiana",113,47.6,23.9,10.4,7.2,53,35.8,78.1
1984,"Iowa",23.6,19.7,12.7,5.7,3.7,10.5,15.6,20.5
1984,"Kansas",25.8,26.7,19.1,4.5,3.6,19.2,17.3,27
1984,"Kentucky",63,30.6,10.2,4.8,3.8,17.9,23.3,54
1984,"Louisiana",11.1,83.1,85.9,4,3.1,103.4,42.5,27.1
1984,"Maine",0.4,14.7,0.1,2,1.5,3.6,6.3,1.8
1984,"Maryland",25.1,34.8,8.6,7.7,3.5,14.7,21.9,20.7
1984,"Massachusetts",10.8,58.7,11.2,14.5,7.1,7.3,26.2,25.6
1984,"Michigan",69.9,53.5,38.6,22.3,11,32.4,41.7,54.6
1984,"Minnesota",21.7,32.5,13.6,7.8,6.1,10.1,24.1,19.7
1984,"Mississippi",9.8,20.5,14.7,2,1.5,11.9,16.8,12.8
1984,"Missouri",55.7,36,14.2,8.1,5,10.9,29.8,52.1
1984,"Montana",8.5,9.5,2.5,1.3,1.3,3.9,5.8,8.2
1984,"Nebraska",11.6,12.9,6.8,2.8,2.7,5,9.7,11.1
1984,"Nevada",14.5,9.2,2.4,0.9,1,1.6,7.8,14.8
1984,"New Hampshire",3.1,9.3,0.5,2.1,0.7,1,4.4,4.7
1984,"New Jersey",7.9,88.3,22.1,16.8,10.2,17.4,57.2,16.7
1984,"New Mexico",23.8,13.5,8.9,1.7,1.8,7.6,9.8,25.3
1984,"New York",28,113.4,43,35.3,25.7,23.2,49.3,50.9
1984,"North Carolina",52.5,48.7,7.9,7.1,4.1,16.3,33.9,47.7
1984,"North Dakota",24.1,8.4,1.2,1,0.9,5.9,5,20.9
1984,"Ohio",127.5,73.5,40.8,21.4,12.7,55.5,52.4,99.8
1984,"Oklahoma",21.7,30.6,35.5,4.8,3,23.3,24,32.7
1984,"Oregon",1.1,21.9,4.3,2.1,2.1,5.8,16.5,0.8
1984,"Pennsylvania",136.6,89.8,37.1,27.6,14.2,66.4,53,102.3
1984,"Rhode Island",0,6.6,1.7,2.3,0.9,0.8,3.8,0.5
1984,"South Carolina",23,24.4,5.8,2.5,1.8,12.6,18.7,17.6
1984,"South Dakota",3.3,6.2,1.3,1.1,0.7,1.8,4.3,2.9
1984,"Tennessee",52.1,34.9,11.2,3.2,4.5,18.2,29.8,42.5
1984,"Texas",101,209,180.1,13.9,13.9,161.9,138.5,161.9
